"","user_rating_ver","size_bytes","price","price_degree","avg_rating_count_ver","rating_count_ver","sup_devices_num","cont_rating","ipad_sc_urls_num","lang_num","vpp_lic","cont_rating_degree"
"1",4.5,100788224,3.99,"Low",0.684210526315789,26,38,4,5,10,TRUE,"Low"
"2",3.5,158578688,0,"Low",0.702702702702703,26,37,4,5,23,TRUE,"Low"
"3",4.5,100524032,0,"Low",76.2702702702703,2822,37,4,5,3,TRUE,"Low"
"4",4.5,128512000,0,"Low",17.5405405405405,649,37,12,5,9,TRUE,"Middle"
"5",5,92774400,0,"Low",143.783783783784,5320,37,4,5,45,TRUE,"Low"
"6",4,10485713,0.99,"Low",117.36170212766,5516,47,4,5,1,TRUE,"Low"
"7",4.5,227795968,0,"Low",23.7567567567568,879,37,4,0,19,TRUE,"Low"
"8",4.5,130242560,0,"Low",97.1351351351351,3594,37,12,4,1,TRUE,"Middle"
"9",5,49250304,9.99,"Normal",0.108108108108108,4,37,4,5,1,TRUE,"Low"
"10",4,70023168,3.99,"Low",1.05263157894737,40,38,4,0,10,TRUE,"Low"
"11",4.5,49618944,4.99,"Low",105.710526315789,4017,38,4,4,11,TRUE,"Low"
"12",2.5,227547136,7.99,"Normal",4.48648648648649,166,37,4,0,6,TRUE,"Low"
"13",4,179979264,0,"Low",5.48648648648649,203,37,17,4,33,TRUE,"High"
"14",4.5,160925696,0,"Low",63.1351351351351,2336,37,4,0,2,TRUE,"Low"
"15",4.5,55153664,4.99,"Low",17.5789473684211,668,38,4,5,2,TRUE,"Low"
"16",3.5,207907840,0,"Low",2.35135135135135,87,37,4,1,26,TRUE,"Low"
"17",3.5,389879808,0,"Low",5.72972972972973,212,37,4,1,29,TRUE,"Low"
"18",4.5,167407616,0,"Low",100.702702702703,3726,37,12,5,18,TRUE,"Middle"
"19",4.5,147093504,0,"Low",3.67567567567568,136,37,12,3,16,TRUE,"Middle"
"20",3.5,10735026,2.99,"Low",88.8936170212766,4178,47,4,0,1,TRUE,"Low"
"21",4.5,70707916,1.99,"Low",22.4651162790698,966,43,4,0,2,TRUE,"Low"
"22",5,6169600,2.99,"Low",19.525,781,40,4,5,1,TRUE,"Low"
"23",4.5,130583552,0,"Low",3.54054054054054,131,37,4,2,6,TRUE,"Low"
"24",0,71203840,5.99,"Normal",0,0,37,4,5,3,TRUE,"Low"
"25",4,11423008,3.99,"Low",6.90697674418605,297,43,4,2,10,TRUE,"Low"
"26",4,188017664,0,"Low",0.324324324324324,12,37,4,5,11,TRUE,"Low"
"27",3.5,4765696,0,"Low",6.52631578947368,248,38,9,0,1,TRUE,"Middle"
"28",5,287933440,0,"Low",0.675675675675676,25,37,4,5,23,TRUE,"Low"
"29",3.5,4263936,4.99,"Low",0.162790697674419,7,43,4,1,1,TRUE,"Low"
"30",4.5,172772352,9.99,"Normal",0.621621621621622,23,37,4,5,1,TRUE,"Low"
"31",4.5,273844224,0,"Low",1.67567567567568,62,37,4,2,23,TRUE,"Low"
"32",5,40216576,1.99,"Low",12.8684210526316,489,38,12,0,15,TRUE,"Middle"
"33",0,2386944,0.99,"Low",0,0,37,4,1,1,TRUE,"Low"
"34",4.5,105431040,0,"Low",29.7567567567568,1101,37,12,5,5,TRUE,"Middle"
"35",5,44129280,0.99,"Low",8.08108108108108,299,37,4,5,3,TRUE,"Low"
"36",3,116443136,0,"Low",2.97297297297297,110,37,12,5,2,TRUE,"Middle"
"37",2.5,1646592,1.99,"Low",1.725,69,40,9,0,1,TRUE,"Middle"
"38",4,30016512,4.99,"Low",0.27027027027027,10,37,4,4,9,TRUE,"Low"
"39",0,29518848,2.99,"Low",0,0,37,17,0,1,TRUE,"High"
"40",3,66872320,2.99,"Low",0.162162162162162,6,37,9,0,1,TRUE,"Middle"
"41",5,45229056,2.99,"Low",0.189189189189189,7,37,4,5,1,TRUE,"Low"
"42",4,127470592,0,"Low",0.324324324324324,12,37,12,5,21,TRUE,"Middle"
"43",0,44241920,3.99,"Low",0,0,37,4,0,2,FALSE,"Low"
"44",4.5,107983872,0,"Low",72.7297297297297,2691,37,4,4,12,TRUE,"Low"
"45",0,8044544,4.99,"Low",0,0,38,4,5,7,TRUE,"Low"
"46",3.5,37214208,0,"Low",31.6046511627907,1359,43,4,5,30,TRUE,"Low"
"47",4,60320768,1.99,"Low",0.27027027027027,10,37,9,5,1,TRUE,"Middle"
"48",4.5,100849664,0,"Low",2.60526315789474,99,38,4,5,10,TRUE,"Low"
"49",4,72748032,0,"Low",2.78378378378378,103,37,4,0,1,FALSE,"Low"
"50",5,32164864,1.99,"Low",0.105263157894737,4,38,4,5,1,TRUE,"Low"
"51",4.5,69079040,1.99,"Low",0.918918918918919,34,37,4,0,13,TRUE,"Low"
"52",5,82037760,2.99,"Low",0.0540540540540541,2,37,4,2,2,TRUE,"Low"
"53",5,150195200,4.99,"Low",1.48648648648649,55,37,4,0,12,TRUE,"Low"
"54",4.5,199734272,0,"Low",159.27027027027,5893,37,4,0,33,TRUE,"Low"
"55",4,13156352,0.99,"Low",0.368421052631579,14,38,4,0,7,TRUE,"Low"
"56",4.5,30367744,2.99,"Low",0.0540540540540541,2,37,12,5,1,TRUE,"Middle"
"57",5,93420544,0,"Low",4.05405405405405,150,37,4,1,6,TRUE,"Low"
"58",5,31505408,4.99,"Low",0.0540540540540541,2,37,4,5,33,TRUE,"Low"
"59",4,25997312,3.99,"Low",0.108108108108108,4,37,4,3,3,TRUE,"Low"
"60",4.5,182054912,0,"Low",10.8648648648649,402,37,4,3,1,TRUE,"Low"
"61",2,138754048,0,"Low",0.351351351351351,13,37,4,0,1,TRUE,"Low"
"62",4.5,13564835,0.99,"Low",38.0212765957447,1787,47,4,0,1,TRUE,"Low"
"63",3,133688320,0,"Low",0.594594594594595,22,37,4,5,8,TRUE,"Low"
"64",4.5,55205888,4.99,"Low",9.45,378,40,4,0,0,TRUE,"Low"
"65",2.5,46922752,4.99,"Low",0.189189189189189,7,37,4,5,1,TRUE,"Low"
"66",5,63283200,12.99,"High",3.86486486486486,143,37,4,5,33,TRUE,"Low"
"67",5,53426176,0,"Low",0.0540540540540541,2,37,4,5,4,TRUE,"Low"
"68",4.5,39505920,0,"Low",395.27027027027,14625,37,4,0,2,TRUE,"Low"
"69",0,210088960,21.99,"High",0,0,37,4,5,2,TRUE,"Low"
"70",5,36399104,0,"Low",41.6216216216216,1540,37,12,5,1,TRUE,"Middle"
"71",1,115143680,0,"Low",0.108108108108108,4,37,17,0,1,TRUE,"High"
"72",4.5,56481792,1.99,"Low",0.648648648648649,24,37,4,0,1,TRUE,"Low"
"73",4,181941248,0,"Low",58.4324324324324,2162,37,4,1,43,TRUE,"Low"
"74",4.5,162891776,0,"Low",18.4594594594595,683,37,4,5,1,TRUE,"Low"
"75",3.5,98108416,0,"Low",0.540540540540541,20,37,12,0,1,FALSE,"Middle"
"76",2.5,54088704,0.99,"Low",0.925,37,40,4,3,13,TRUE,"Low"
"77",4,50155520,1.99,"Low",1.7906976744186,77,43,4,5,1,TRUE,"Low"
"78",5,23936000,0,"Low",7.21052631578947,274,38,4,4,17,TRUE,"Low"
"79",4,145293312,0.99,"Low",24.906976744186,1071,43,9,5,1,TRUE,"Middle"
"80",5,140367872,0,"Low",12.5945945945946,466,37,4,0,17,TRUE,"Low"
"81",4,281244672,0,"Low",5.21621621621622,193,37,4,0,1,TRUE,"Low"
